municipio_codigo|distrito_nombre|direccion_via_nombre|centro_tipo_descripcion|dat_codigo|direccion_codigo_postal|centro_titularidad|contacto_telefono2|contacto_telefono3|centro_tipo_desc_abreviada|direccion_numero|contacto_telefono1|centro_codigo|contacto_web|dat_nombre|centro_tipo_codigo|municipio_nombre|distrito_codigo|contacto_fax|direccion_coor_y|centro_titular|direccion_coor_x|direccion_via_tipo|centro_nombre|contacto_telefono4|contacto_email1|coord_x_centrica|coord_y_centrica|distancia_euclideana|ranking_ue
5||Huertas|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|3|28807|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|4|918819409|28000327|http://www.smprovidencia-alcala.es|Madrid-Este|72|Alcalá de Henares||918813167|4482033.0|FUNDACION EDUCACION Y EVANGELIO|469022.0|CALLE|SANTA MARIA DE LA PROVIDENCIA||cc.smdelaprovidencia.alcala@educa.madrid.org|440264.7489361702|4474293.580851064|29780.498610853665|438.0
5||Valladolid|INSTITUTO DE EDUCACIÓN SECUNDARIA|3|28804|PÚBLICO|||IES|1|918880169|28000364|http://www.educa.madrid.org/ies.complutense.alcala|Madrid-Este|42|Alcalá de Henares||918828091|4481599.0|COMUNIDAD DE MADRID|470510.0|CALLE|COMPLUTENSE||ies.complutense.alcala@educa.madrid.org|440157.3842874543|4474481.943970768|31175.852307783127|1295.0
5||Ávila|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|3|28804|PÚBLICO|||CP INF-PRI|s/n|918893702|28000376|http://www.educa.madrid.org/cp.val.alcala|Madrid-Este|14|Alcalá de Henares||918894578|4481791.0|COMUNIDAD DE MADRID|470873.0|CALLE|NUESTRA SEÑORA DEL VAL||cp.val.alcala@educa.madrid.org|440157.3842874543|4474481.943970768|31573.26952723205|1306.0
5||de Pedro Sarmiento de Gamboa|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|3|28805|PÚBLICO|||CP INF-PRI|11|918883764|28000388|http://www.educa.madrid.org/cp.doctora.alcala|Madrid-Este|14|Alcalá de Henares||918833055|4482291.0|COMUNIDAD DE MADRID|469522.0|CALLE|DOCTORA DE ALCALA||cp.doctora.alcala@educa.madrid.org|440157.3842874543|4474481.943970768|30385.226871181556|1275.0
5||Daganzo|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|3|28800|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|k 2,5|918890650|28000406|http://www.educa.madrid.org/cc.sangabriel.alcala|Madrid-Este|72|Alcalá de Henares||918871277|4483263.0|PADRES PASIONISTAS|467137.0|CTRA|SAN GABRIEL||cc.sangabriel.alcala@educa.madrid.org|440264.7489361702|4474293.580851064|28329.63743338063|428.0
5||Concepción Arenal|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|3|28806|PRIVADO CONCERTADO|918881400||CPR INF-PRI-SEC|3|918871114|28000421|http://www.sanignacioalcala.es|Madrid-Este|72|Alcalá de Henares||918832815|4482916.0|COLEGIO DE SAN IGNACIO COMPAÑIA DE JESUS (JESUITAS)|469041.0|CALLE|SAN IGNACIO DE LOYOLA||cc.sanignaciodeloyola.alcala@educa.madrid.org|440264.7489361702|4474293.580851064|30040.285239466408|439.0
5||Batalla de Lepanto|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|3|28804|PRIVADO CONCERTADO|918835635||CPR INF-PRI-SEC|1|918881362|28000431|http://www.educa.madrid.org/cc.minerva.alcala|Madrid-Este|72|Alcalá de Henares||918881362|4481732.0|COLEGIOS MINERVA S.L.|469753.0|CALLE|MINERVA||cc.minerva.alcala@educa.madrid.org|440264.7489361702|4474293.580851064|30411.955383347464|441.0
5||Vitoria|INSTITUTO DE EDUCACIÓN SECUNDARIA|3|28804|PÚBLICO|||IES|3|918881174|28000467|http://www.educa.madrid.org/ies.alonsodeavellan.alcala|Madrid-Este|42|Alcalá de Henares||918883402|4482286.0|COMUNIDAD DE MADRID|471046.0|CALLE|ALONSO DE AVELLANEDA||ies.alonsodeavellan.alcala@educa.madrid.org|440157.3842874543|4474481.943970768|31859.219562706185|1310.0
5||Santiago|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|3|28801|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|29|918892900|28000479|http://www.calasanzalcala.com|Madrid-Este|72|Alcalá de Henares||918771836|4481493.0|FUNDACION ESCOLAPIAS MONTAL|468941.0|CALLE|CALASANZ||cc.calasanz.alcala@educa.madrid.org|440264.7489361702|4474293.580851064|29566.180192203825|435.0
5||de Luis de Medina|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|3|28805|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|12|918893879|28000492|http://www.colegiolopedevega.com|Madrid-Este|72|Alcalá de Henares||918892021|4482228.0|PROLOVE, S.A.|469744.0|CALLE|LOPE DE VEGA||cc.lopedevega.alcala@educa.madrid.org|440264.7489361702|4474293.580851064|30528.36796350752|442.0
5||Alalpardo|INSTITUTO DE EDUCACIÓN SECUNDARIA|3|28806|PÚBLICO|||IES|s/n|918892450|28000522|http://www.educa.madrid.org/ies.machado.alcala|Madrid-Este|42|Alcalá de Henares||918883916|4482393.0|COMUNIDAD DE MADRID|468665.0|CALLE|ANTONIO MACHADO||ies.machado.alcala@educa.madrid.org|440157.3842874543|4474481.943970768|29584.944838749212|1241.0
5||San Vidal|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|3|28803|PÚBLICO|||CP INF-PRI|4|918886145|28000558|http://www.educa.madrid.org/cp.infantacatalina.alcala|Madrid-Este|14|Alcalá de Henares||918836953|4480481.0|COMUNIDAD DE MADRID|468204.0|CALLE|INFANTA CATALINA||cp.infantacatalina.alcala@educa.madrid.org|440157.3842874543|4474481.943970768|28681.027285804852|1198.0
6||del Marqués de la Valdavia|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|1|28100|PÚBLICO|916624089||CP INF-PRI|91|916624593|28000595|http://www.educa.madrid.org/cp.garcialorca.alcobendas|Madrid-Norte|14|Alcobendas||916624084|4488554.0|COMUNIDAD DE MADRID|445032.0|CALLE|FEDERICO GARCIA LORCA||cp.garcialorca.alcobendas@educa.madrid.org|440157.3842874543|4474481.943970768|14892.435638096551|687.0
6||de Miraflores|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|1|28100|PÚBLICO|916512538||CP INF-PRI|59|916526807|28000601|http://www.educa.madrid.org/cp.machado.alcobendas|Madrid-Norte|14|Alcobendas||916639504|4488631.0|COMUNIDAD DE MADRID|445886.0|CALLE|ANTONIO MACHADO||cp.machado.alcobendas@educa.madrid.org|440157.3842874543|4474481.943970768|15264.757597170616|712.0
6||de Felipe Álvarez Gadea|ESCUELA INFANTIL PRIVADA|1|28100|PRIVADO CONCERTADO|656440108||EIPR|1|916535721|28000625||Madrid-Norte|8|Alcobendas||916535721|4488013.0|PARROQUIA DE SAN PEDRO APOSTOL|446447.0|PLAZA|SAN PEDRO APOSTOL||cc.sanpedroapostol.alcobendas@educa.madrid.org|440264.7489361702|4474293.580851064|15048.012825632988|365.0
6||de Barcelona|CENTRO PRIVADO DE EDUCACIÓN PRIMARIA|1|28100|PRIVADO CONCERTADO|||CPR PRI|13|916527169|28000649|http://www.educa.madrid.org/cc.sanantonio.alcobendas|Madrid-Norte|13|Alcobendas||916527169|4488144.0|COLEGIO CONCERTADO SAN ANTONIO, S.L.|446743.0|CALLE|SAN ANTONIO||cc.sanantonio.alcobendas@educa.madrid.org|440264.7489361702|4474293.580851064|15290.580350242542|368.0
6||Juan M. Sánchez. Pedagogo|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|1|28100|PRIVADO CONCERTADO|647786608||CPR INF-PRI-SEC|3|916516468|28000662|http://www.juanxxiiialcobendas.com|Madrid-Norte|72|Alcobendas||916516468|4488087.0|EDUCACHACON, S.L.|446082.0|TRVA|JUAN XXIII||cc.juanxxiii.alcobendas@educa.madrid.org|440264.7489361702|4474293.580851064|14969.930586273995|364.0
6||del Camino Sur|CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA|1|28109|PRIVADO|916500000|916500000|CPR PRI-SEC|10-12|916500000|28000698|http://www.liceo-europeo.es|Madrid-Norte|73|Alcobendas||916500000|4484772.0|LICEO EUROPEO, S.L.|445505.0|CALLE|LICEO EUROPEO|916500000|patricia.real@liceo-europeo.edu.es|439602.9362934363|4476838.754826255|9887.908524206867|265.0
6||de la Transición Española|INSTITUTO DE EDUCACIÓN SECUNDARIA|1|28108|PÚBLICO|||IES|11|916525466|28000753|http://www.educa.madrid.org/ies.ginerdelosrios.alcobendas|Madrid-Norte|42|Alcobendas||916511164|4487172.0|COMUNIDAD DE MADRID|447429.0|AVDA|FRANCISCO GINER DE LOS RIOS||ies.ginerdelosrios.alcobendas@educa.madrid.org|440157.3842874543|4474481.943970768|14625.796289296335|675.0
6||de Valdelaparra|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|1|28108|PÚBLICO|||CP INF-PRI|92|916616095|28000765|http://www.educa.madrid.org/cp.daoizyvelarde.alcobendas|Madrid-Norte|14|Alcobendas||916613142|4488551.0|COMUNIDAD DE MADRID|443977.0|AVDA|DAOIZ Y VELARDE||cp.daoizyvelarde.alcobendas@educa.madrid.org|440157.3842874543|4474481.943970768|14578.333297918572|672.0
6||de Begonia|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|1|28109|PRIVADO|||CPR INF-PRI-SEC|275|916501500|28000777|http://www.irlandesaselsoto.net/|Madrid-Norte|72|Alcobendas|||4486106.0|INSTITUTO  BIENAVENTURADA VIRGEN MARIA|445727.0|CALLE|BIENAVENTURADA VIRGEN MARIA||secretaria@irlandesaselsoto.net|439602.9362934363|4476838.754826255|11107.924621293952|288.0
6||BURGOS|CENTRO DOCENTE EXTRANJERO EN ESPAÑA|1|28100|PRIVADO|||CEXTRAN ESP|k. 14|916505818|28000820||Madrid-Norte|94|Alcobendas|||4485638.0|ASOCIACION DEL COLEGIO SUIZO DE MADRID|444586.0|CTRA|COLEGIO SUIZO DE MADRID (SUIZO)|||439602.9362934363|4476838.754826255|10112.251951536058|269.0
7||del Oeste|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|2|28922|PÚBLICO|||CP INF-PRI|2|916448242|28000856|http://www.educa.madrid.org/cp.carmenconde.alcorcon|Madrid-Sur|14|Alcorcón||916440016|4466006.0|COMUNIDAD DE MADRID|429272.0|AVDA|CARMEN CONDE||cp.carmenconde.alcorcon@educa.madrid.org|440157.3842874543|4474481.943970768|13796.130518415364|643.0
7||de Pablo Iglesias|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28922|PRIVADO CONCERTADO|629924429||CPR INF-PRI-SEC|2|916442053|28000901|http://www.rihondo.es|Madrid-Sur|72|Alcorcón|||4466342.0|COLEGIO RIHONDO, S.L.|428975.0|AVDA|NUESTRA SEÑORA DE RIHONDO||cc.nsrihondo.alcorcon@educa.madrid.org|440264.7489361702|4474293.580851064|13808.91266801136|362.0
7||de Ribadavia|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28925|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|2|916191823|28000947|http://www.alcorcon.colegiostrinitarios.com|Madrid-Sur|72|Alcorcón||916103443|4467463.0|FUNDACION EDUCATIVA SANTISIMA TRINIDAD|430991.0|CALLE|SANTISIMA TRINIDAD||cc.santisimatrinidad.alcorcon@educa.madrid.org|440264.7489361702|4474293.580851064|11517.77991168614|339.0
7||de los Guindales|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28921|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|17|916194981|28000960|http://www.educa.madrid.org/cc.nsdelosremedios.alcorcon|Madrid-Sur|72|Alcorcón||916194981|4466399.0|COLEGIO NUESTRA SEÑORA DE LOS REMEDIOS, SOC. COOP. MADRILEÑA|429201.0|CALLE|NUESTRA SEÑORA DE LOS REMEDIOS||cc.nsdelosremedios.alcorcon@educa.madrid.org|440264.7489361702|4474293.580851064|13591.576337444983|360.0
7||Santiago de Compostela|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28924|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|1|916192117|28001010|http://www.educa.madrid.org/cc.amordedios.alcorcon|Madrid-Sur|72|Alcorcón||916118527|4467059.0|CONGREGACION DE RELIGIOSAS DEL AMOR DE DIOS|430735.0|PLAZA|AMOR DE DIOS||cc.amordedios.alcorcon@educa.madrid.org|440264.7489361702|4474293.580851064|11964.751350405058|349.0
7||Señorita Elena|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28924|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|s/n|916192515|28001022|http://www.lainmaculada.net|Madrid-Sur|72|Alcorcón||916113356|4466962.0|MISIONERAS SECULARES DE JESUS OBRERO|431067.0|CALLE|LA INMACULADA||cc.lainmaculada.alcorcon@educa.madrid.org|440264.7489361702|4474293.580851064|11762.255874980321|343.0
7||de Lisboa|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28924|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|2|916195917|28001034|http://www.colegiotrinitarias.com|Madrid-Sur|72|Alcorcón||916112507|4467116.0|MADRES TRINITARIAS|430148.0|AVDA|VIRGEN DEL REMEDIO||cc.virgendelremedio.alcorcon@educa.madrid.org|440264.7489361702|4474293.580851064|12404.284578768023|354.0
7||de Madrid|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28921|PRIVADO CONCERTADO|916106371||CPR INF-PRI-SEC|12|916438329|28001046|http://www.villadealcorcon.com|Madrid-Sur|72|Alcorcón||916448058|4466865.0|JUAN XXIII DE ENSEÑANZA S.L.|429720.0|CALLE|CENTRO EDUCATIVO VILLA DE ALCORCON||cc.villadealcorcon.alcorcon@educa.madrid.org|440264.7489361702|4474293.580851064|12898.664411002326|357.0
7||del Alcalde José Aranda|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|2|28923|PÚBLICO|||CP INF-PRI|45|916108191|28001137|http://www.educa.madrid.org/portal/web/danielmartin|Madrid-Sur|14|Alcorcón||916101196|4466548.0|COMUNIDAD DE MADRID|430417.0|AVDA|DANIEL MARTIN||cp.danielmartin.alcorcon@educa.madrid.org|440157.3842874543|4474481.943970768|12562.744644327096|599.0
7||de la Olímpica Conchita Puig|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|2|28923|PÚBLICO|916190793|916117161|CP INF-PRI|2|916117131|28001149|http://www.educa.madrid.org/cp.donvictoriano.alcorcon|Madrid-Sur|14|Alcorcón||916118052|4466314.0|COMUNIDAD DE MADRID|430394.0|CALLE|PARROCO D. VICTORIANO||cp.donvictoriano.alcorcon@educa.madrid.org|440157.3842874543|4474481.943970768|12729.453305390272|604.0
22||de Montepríncipe|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|4|28668|PRIVADO|913726456|913726463|CPR INF-PRI-SEC||913520523|28001231|www.colegioceumonteprincipe.es|Madrid-Oeste|72|Boadilla del Monte||917154939|4472491.0|FUNDACION UNIVERSITARIA SAN PABLO CEU|428858.0|AVDA|SAN PABLO-CEU||info.csp.monteprincipe@ceu.es|439602.9362934363|4476838.754826255|11591.23064990206|298.0
8||Navayuncosa|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|2|28620|PÚBLICO|||CP INF-PRI|22|918637177|28001241|http://www.educa.madrid.org/cp.fatima.aldeadelfresno|Madrid-Sur|14|Aldea del Fresno||918637603|4464438.0|COMUNIDAD DE MADRID|398068.0|CALLE|NUESTRA SEÑORA DE FATIMA||cp.fatima.aldeadelfresno@educa.madrid.org|440157.3842874543|4474481.943970768|43271.20382176728|1454.0
9||del Retamar|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|1|28110|PÚBLICO|||CP INF-PRI|18|916290464|28001277|http://www.educa.madrid.org/cp.obispomoscoso.algete|Madrid-Norte|14|Algete||916280730|4494426.0|COMUNIDAD DE MADRID|457953.0|CALLE|OBISPO MOSCOSO||cp.obispomoscoso.algete@educa.madrid.org|440157.3842874543|4474481.943970768|26729.184601961904|1156.0
10||de Santa Quiteria|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|4|28439|PÚBLICO|918579119||CP INF-PRI|45|918572391|28001289|http://www.educa.madrid.org/cp.santaquiteria.alpedrete|Madrid-Oeste|14|Alpedrete||918571221|4500973.0|COMUNIDAD DE MADRID|413796.0|CALLE|SANTA QUITERIA||cp.santaquiteria.alpedrete@educa.madrid.org|440157.3842874543|4474481.943970768|37372.43143140092|1382.0
13||de la Plaza de Toros|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|2|28300|PÚBLICO|||CP INF-PRI|32|918910771|28001371|http://www.educa.madrid.org/cp.sanjosedecalasanz.aranjuez|Madrid-Sur|14|Aranjuez||918922229|4430989.0|COMUNIDAD DE MADRID|449000.0|AVDA|SAN JOSE DE CALASANZ||cp.sanjosedecalasanz.aranjuez@educa.madrid.org|440157.3842874543|4474481.943970768|44382.744708772865|1476.0
13||de Carretas|CENTRO PRIVADO DE EDUCACIÓN INFANTIL|2|28300|PRIVADO|||CPR INF|16|918910717|28001435||Madrid-Sur|4|Aranjuez|||4430808.0|COLEGIO VIRGEN DEL PUERTO, S.L.|448509.0|CALLE|VIRGEN DEL PUERTO||vdp@colegiovirgendelpuerto.com|439602.9362934363|4476838.754826255|46884.41490111808|506.0
13||del Príncipe|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28300|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|15|918910419|28001514|http://www.aranjuez.fesd.es|Madrid-Sur|72|Aranjuez||918923648|4431962.0|FUNDACION EDUCATIVA SANTO DOMINGO|448554.0|CALLE|SAGRADA FAMILIA||cc.sagradafamilia.aranjuez@educa.madrid.org|440264.7489361702|4474293.580851064|43135.535473080396|456.0
13||del Rey|CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA|2|28300|PRIVADO CONCERTADO|616583604||CPR INF-PRI|77-79|918911917|28001538|http://www.colegiosanpascual.es|Madrid-Sur|15|Aranjuez|||4431182.0|COLEGIO SAN PASCUAL, SDAD. COOP. MADRILEÑA|448770.0|CALLE|SAN PASCUAL||cc.sanpascual.aranjuez@educa.madrid.org|440264.7489361702|4474293.580851064|43942.54998445825|460.0
13||del Príncipe|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|2|28300|PÚBLICO|||CP INF-PRI|38|918912625|28001551|http://www.educa.madrid.org/cp.vicentealeixandre.aranjuez|Madrid-Sur|14|Aranjuez||918920571|4431855.0|COMUNIDAD DE MADRID|448855.0|CALLE|VICENTE ALEIXANDRE||cp.vicentealeixandre.aranjuez@educa.madrid.org|440157.3842874543|4474481.943970768|43505.228092381|1456.0
13||de las Moreras|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28300|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|217|918921200|28001563|http://www.educa.madrid.org/cc.apostolsantiago.aranjuez|Madrid-Sur|72|Aranjuez||918921009|4431847.0|PADRES SOMASCOS|449686.0|CALLE|APOSTOL SANTIAGO||cc.apostolsantiago.aranjuez@educa.madrid.org|440264.7489361702|4474293.580851064|43479.56068721984|458.0
13||de Abastos|ESCUELA INFANTIL PRIVADA|2|28300|PRIVADO|||EIPR|157|918911553|28001587||Madrid-Sur|8|Aranjuez|||4431397.0|ESCUELA INFANTIL ARCO IRIS ABASTOS, S.L.|449282.0|CALLE|ARCO IRIS ABASTOS||escuelainfantil.arcoiris.abastos@hotmail.com|439602.9362934363|4476838.754826255|46461.13812559052|504.0
13||de Valeras|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28300|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|24|918910505|28001605|http://www.salesianosloyola.es|Madrid-Sur|72|Aranjuez||918923768|4431042.0|CONGREGACION SALESIANA|447999.0|CALLE|LOYOLA||cc.loyola.aranjuez@educa.madrid.org|440264.7489361702|4474293.580851064|43937.659082323495|459.0
13||de los Cuarteles|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|2|28300|PÚBLICO|619785919||CP INF-PRI|51|918911299|28001617|http://www.educa.madrid.org/cp.sanisidro.aranjuez|Madrid-Sur|14|Aranjuez||918090214|4431557.0|COMUNIDAD DE MADRID|449488.0|CALLE|SAN ISIDRO||cp.sanisidro.aranjuez@educa.madrid.org|440157.3842874543|4474481.943970768|43927.340056834284|1469.0
13||de Valeras|INSTITUTO DE EDUCACIÓN SECUNDARIA|2|28300|PÚBLICO|918911298||IES|22|918910057|28001629|http://www.educa.madrid.org/ies.domenicoscarlat.aranjuez|Madrid-Sur|42|Aranjuez||918923723|4431221.0|COMUNIDAD DE MADRID|448012.0|CALLE|DOMENICO SCARLATTI||ies.domenicoscarlat.aranjuez@educa.madrid.org|440157.3842874543|4474481.943970768|43968.218763485056|1472.0
13||Zorzales|COLEGIO DE EDUCACIÓN ESPECIAL|2|28300|PÚBLICO|||CP EE|11|918915378|28001642|http://www.educa.madrid.org/cpee.principedeasturias.aranjuez|Madrid-Sur|20|Aranjuez||918915378|4431228.0|COMUNIDAD DE MADRID|447882.0|CALLE|PRINCIPE DE ASTURIAS||cpee.principedeasturias.aranjuez@educa.madrid.org|440157.3842874543|4474481.943970768|43938.29032783167|1471.0
903||del Mar Adriático|INSTITUTO DE EDUCACIÓN SECUNDARIA|1|28760|PÚBLICO|||IES|2|918040964|28001678|http://www.educa.madrid.org/ies.jorgemanrique.trescantos|Madrid-Norte|42|Tres Cantos||918046515|4493685.0|COMUNIDAD DE MADRID|440399.0|CALLE|JORGE MANRIQUE||ies.jorgemanrique.trescantos@educa.madrid.org|440157.3842874543|4474481.943970768|19204.575991528185|935.0
